epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,40270.2,1.103,2.22428,1.50971,0.78985,0.83187,0.88598,0.52353,1.35471,2.3675,1.82064,0.0002575,0.0002575,0.0002575
82,41494.1,1.09707,2.2173,1.50145,0.79036,0.83083,0.88557,0.52392,1.35351,2.36434,1.81991,0.000246363,0.000246363,0.000246363
83,42717.8,1.0977,2.21455,1.50679,0.79177,0.82962,0.88569,0.52386,1.35292,2.36148,1.81955,0.000235404,0.000235404,0.000235404
84,43941.5,1.09642,2.20369,1.50159,0.7929,0.82829,0.88608,0.52362,1.35253,2.35795,1.81941,0.000224629,0.000224629,0.000224629
85,45165.4,1.09591,2.19613,1.50141,0.79267,0.82778,0.88572,0.52354,1.35262,2.35679,1.82002,0.000214046,0.000214046,0.000214046
86,46389.3,1.09341,2.18605,1.49915,0.7919,0.82765,0.88587,0.52357,1.35265,2.35329,1.82017,0.000203663,0.000203663,0.000203663
87,47610.7,1.09007,2.18254,1.49587,0.79043,0.82901,0.88608,0.52349,1.35225,2.3517,1.82022,0.000193486,0.000193486,0.000193486
88,48833.2,1.08831,2.18306,1.49177,0.79268,0.82775,0.88571,0.52371,1.35171,2.34848,1.81983,0.000183523,0.000183523,0.000183523
89,50055.6,1.08564,2.17357,1.4912,0.79243,0.82616,0.88564,0.52372,1.35183,2.34577,1.82027,0.00017378,0.00017378,0.00017378
90,51279.4,1.08015,2.17026,1.48714,0.79265,0.82563,0.886,0.5241,1.35146,2.34402,1.82008,0.000164264,0.000164264,0.000164264
91,52504.3,1.07951,2.16438,1.48646,0.79201,0.82778,0.88617,0.52399,1.35145,2.34145,1.82102,0.000154982,0.000154982,0.000154982
92,53725.3,1.0804,2.15771,1.48713,0.79271,0.82714,0.88635,0.52367,1.35181,2.33808,1.82231,0.00014594,0.00014594,0.00014594
93,54948.8,1.07448,2.15735,1.48213,0.792,0.82706,0.88634,0.52345,1.35161,2.33607,1.8231,0.000137143,0.000137143,0.000137143
94,56170.7,1.07485,2.15474,1.48173,0.79047,0.82763,0.88519,0.52354,1.35158,2.33405,1.82345,0.000128599,0.000128599,0.000128599
95,57392.2,1.07773,2.14687,1.48022,0.78958,0.83046,0.88536,0.52415,1.35136,2.33251,1.82357,0.000120313,0.000120313,0.000120313
96,58613.9,1.0731,2.14538,1.47904,0.79203,0.82433,0.8852,0.52386,1.35115,2.33166,1.82349,0.00011229,0.00011229,0.00011229
97,59833.4,1.07153,2.14667,1.47716,0.79176,0.82269,0.88525,0.52375,1.3514,2.32994,1.82413,0.000104537,0.000104537,0.000104537
98,61055.2,1.06926,2.13926,1.47843,0.79296,0.82242,0.88544,0.52375,1.35121,2.33014,1.82472,9.70575e-05,9.70575e-05,9.70575e-05
99,62277.9,1.07117,2.13313,1.48002,0.79158,0.82452,0.88552,0.52371,1.35117,2.3292,1.8256,8.98581e-05,8.98581e-05,8.98581e-05
100,63499.7,1.06858,2.13248,1.47562,0.79048,0.8244,0.88506,0.52408,1.35102,2.32946,1.82654,8.29431e-05,8.29431e-05,8.29431e-05
101,64721.4,1.06726,2.13312,1.47636,0.79051,0.8258,0.88505,0.52357,1.35115,2.3283,1.8274,7.63174e-05,7.63174e-05,7.63174e-05
102,65971,1.06432,2.12523,1.47188,0.78825,0.83093,0.88515,0.5238,1.35116,2.32717,1.82777,6.99855e-05,6.99855e-05,6.99855e-05
103,67865.5,1.06139,2.1228,1.4683,0.78646,0.83417,0.88562,0.52374,1.35087,2.32622,1.82771,6.39518e-05,6.39518e-05,6.39518e-05
104,69753,1.06559,2.12052,1.47197,0.78725,0.83346,0.88553,0.52369,1.35091,2.32575,1.82797,5.82203e-05,5.82203e-05,5.82203e-05
105,71648.1,1.06134,2.11485,1.4683,0.78718,0.83392,0.88583,0.5239,1.35101,2.32482,1.82818,5.2795e-05,5.2795e-05,5.2795e-05
106,73517.6,1.06062,2.11176,1.46989,0.78747,0.83312,0.88626,0.52408,1.35122,2.32313,1.82839,4.76796e-05,4.76796e-05,4.76796e-05
107,75376.7,1.05934,2.10901,1.46967,0.78618,0.83324,0.88578,0.52362,1.35128,2.32238,1.82866,4.28777e-05,4.28777e-05,4.28777e-05
108,76980.1,1.0567,2.11046,1.46756,0.78657,0.83264,0.88572,0.52364,1.35109,2.32125,1.82877,3.83925e-05,3.83925e-05,3.83925e-05
109,78252.2,1.05352,2.10468,1.46476,0.78624,0.83323,0.88638,0.52425,1.35129,2.32047,1.82887,3.4227e-05,3.4227e-05,3.4227e-05
110,79807.7,1.05671,2.11063,1.46399,0.78592,0.83344,0.88642,0.52381,1.35135,2.32113,1.82909,3.03842e-05,3.03842e-05,3.03842e-05
111,81408.7,1.0539,2.10891,1.46152,0.78869,0.83132,0.88651,0.52397,1.35141,2.32136,1.82916,2.68667e-05,2.68667e-05,2.68667e-05
112,83053.2,1.05359,2.10391,1.4658,0.78962,0.83006,0.88566,0.52406,1.35159,2.32095,1.82947,2.36769e-05,2.36769e-05,2.36769e-05
