epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,29533.4,1.06702,0.69413,0.01543,0.76278,0.81818,0.86818,0.51232,1.33944,0.72925,0.02458,0.000133695,0.000133695,0.000133695
79,29911.5,1.06295,0.69103,0.01545,0.75815,0.82436,0.86781,0.5112,1.33902,0.7302,0.02457,0.000123596,0.000123596,0.000123596
80,30289.5,1.06077,0.68889,0.01535,0.76023,0.82529,0.86861,0.51191,1.33922,0.72908,0.02457,0.000113873,0.000113873,0.000113873
81,30667.8,1.06482,0.68717,0.01539,0.76021,0.82583,0.86824,0.51148,1.33975,0.7288,0.02459,0.000104537,0.000104537,0.000104537
82,31045.3,1.05818,0.68451,0.01522,0.76342,0.8233,0.86822,0.51158,1.34082,0.72624,0.02461,9.55951e-05,9.55951e-05,9.55951e-05
83,31423.7,1.05331,0.68561,0.01513,0.76522,0.82189,0.86891,0.51215,1.34007,0.72564,0.0246,8.70577e-05,8.70577e-05,8.70577e-05
84,31801.6,1.05657,0.68013,0.0152,0.76778,0.81605,0.8685,0.51164,1.34049,0.72451,0.0246,7.89327e-05,7.89327e-05,7.89327e-05
85,32180.5,1.05219,0.68517,0.01517,0.76788,0.81987,0.86915,0.51251,1.34063,0.72243,0.02461,7.12282e-05,7.12282e-05,7.12282e-05
86,32557.6,1.05219,0.68081,0.01512,0.76684,0.82318,0.86954,0.51247,1.34142,0.72149,0.02462,6.39518e-05,6.39518e-05,6.39518e-05
87,32934.3,1.0502,0.68092,0.01511,0.76376,0.8256,0.86937,0.51221,1.34044,0.72233,0.0246,5.71106e-05,5.71106e-05,5.71106e-05
88,33310.2,1.05119,0.67902,0.0151,0.76142,0.82861,0.87017,0.5124,1.34075,0.71978,0.02461,5.07115e-05,5.07115e-05,5.07115e-05
89,33686.9,1.04707,0.68044,0.01499,0.76465,0.8268,0.87031,0.51282,1.34105,0.71825,0.02461,4.47606e-05,4.47606e-05,4.47606e-05
90,34070.1,1.04716,0.68062,0.01502,0.76583,0.82577,0.87063,0.51281,1.34134,0.71776,0.02462,3.9264e-05,3.9264e-05,3.9264e-05
91,34499.9,1.04706,0.68007,0.01504,0.77479,0.81011,0.87028,0.5127,1.34198,0.71792,0.02465,3.4227e-05,3.4227e-05,3.4227e-05
92,34960.1,1.04362,0.67648,0.015,0.77348,0.81388,0.87011,0.51244,1.34285,0.71923,0.02466,2.96546e-05,2.96546e-05,2.96546e-05
93,35420.1,1.04465,0.67819,0.01495,0.77312,0.8134,0.87006,0.51233,1.34334,0.71879,0.02469,2.55513e-05,2.55513e-05,2.55513e-05
94,35879.4,1.04143,0.67575,0.01485,0.77403,0.81116,0.86988,0.51236,1.34302,0.7202,0.02467,2.19212e-05,2.19212e-05,2.19212e-05
95,36337.9,1.04234,0.67737,0.01489,0.76551,0.8227,0.8699,0.51229,1.34281,0.72008,0.02466,1.87678e-05,1.87678e-05,1.87678e-05
96,36799.1,1.03841,0.67793,0.01496,0.76281,0.83033,0.87022,0.51234,1.34375,0.71853,0.02469,1.60943e-05,1.60943e-05,1.60943e-05
97,37259.2,1.03686,0.67341,0.01482,0.7634,0.82924,0.87013,0.51222,1.34435,0.71715,0.02469,1.39032e-05,1.39032e-05,1.39032e-05
98,37715.8,1.04169,0.67276,0.01491,0.76626,0.82657,0.87059,0.51231,1.34449,0.71582,0.0247,1.21968e-05,1.21968e-05,1.21968e-05
99,38170.8,1.03968,0.67186,0.01492,0.76265,0.83003,0.87074,0.5125,1.34413,0.71625,0.02468,1.09768e-05,1.09768e-05,1.09768e-05
100,38624,1.0368,0.67319,0.01481,0.7614,0.83396,0.87105,0.51252,1.34414,0.71602,0.02467,1.02443e-05,1.02443e-05,1.02443e-05
